NBAtlas_label	ensembl_gene_id	gene_symbol	p_val_adj	avg_log2FC	direction	source
B cell	ENSG00000023445	BIRC3	0	2.12922389852479	up	NBAtlas
B cell	ENSG00000169442	CD52	0	2.31224784109608	up	NBAtlas
B cell	ENSG00000162511	LAPTM5	0	2.22162130429094	up	NBAtlas
B cell	ENSG00000168421	RHOH	0	1.8175760569182	up	NBAtlas
B cell	ENSG00000172183	ISG20	0	1.92037989313446	up	NBAtlas
B cell	ENSG00000198502	HLA-DRB5	0	1.53823384639067	up	NBAtlas
B cell	ENSG00000121966	CXCR4	0	2.21582282890111	up	NBAtlas
B cell	ENSG00000227507	LTB	0	1.55769996571939	up	NBAtlas
B cell	ENSG00000196352	CD55	0	1.73560850545588	up	NBAtlas
B cell	ENSG00000069493	CLEC2D	0	1.34641969820194	up	NBAtlas
B cell	ENSG00000051108	HERPUD1	0	2.08602265865907	up	NBAtlas
B cell	ENSG00000117091	CD48	0	1.28797677072623	up	NBAtlas
B cell	ENSG00000115165	CYTIP	0	1.21803288103355	up	NBAtlas
B cell	ENSG00000204592	HLA-E	0	1.3362324678489	up	NBAtlas
B cell	ENSG00000051523	CYBA	0	1.54706324971281	up	NBAtlas
B cell	ENSG00000213654	GPSM3	0	1.18470762892912	up	NBAtlas
B cell	ENSG00000111348	ARHGDIB	0	1.22516921434013	up	NBAtlas
B cell	ENSG00000162924	REL	0	1.44033528619223	up	NBAtlas
B cell	ENSG00000234745	HLA-B	0	1.26897834355428	up	NBAtlas
B cell	ENSG00000102879	CORO1A	0	1.26764679894003	up	NBAtlas
B cell	ENSG00000157514	TSC22D3	0	1.46478987784072	up	NBAtlas
B cell	ENSG00000089327	FXYD5	0	1.08583203046264	up	NBAtlas
B cell	ENSG00000171223	JUNB	0	1.43657214135768	up	NBAtlas
B cell	ENSG00000204525	HLA-C	0	0.950978166913036	up	NBAtlas
B cell	ENSG00000166710	B2M	0	0.965252515675427	up	NBAtlas
B cell	ENSG00000206503	HLA-A	0	0.786158700571501	up	NBAtlas
B cell	ENSG00000130066	SAT1	0	0.601209920614107	up	NBAtlas
B cell	ENSG00000137726	FXYD6	0	-1.14611756457094	down	NBAtlas
B cell	ENSG00000196361	ELAVL3	0	-1.21701703485383	down	NBAtlas
B cell	ENSG00000174521	TTC9B	0	-1.27008244234456	down	NBAtlas
B cell	ENSG00000168824	NSG1	0	-1.34782938953239	down	NBAtlas
B cell	ENSG00000114631	PODXL2	0	-1.14914746670149	down	NBAtlas
B cell	ENSG00000016082	ISL1	0	-1.50387657316376	down	NBAtlas
B cell	ENSG00000168268	NT5DC2	0	-1.15528375929762	down	NBAtlas
B cell	ENSG00000169750	RAC3	0	-1.11576768330818	down	NBAtlas
B cell	ENSG00000143153	ATP1B1	0	-1.24948970944121	down	NBAtlas
B cell	ENSG00000100320	RBFOX2	0	-1.54264861000413	down	NBAtlas
B cell	ENSG00000072832	CRMP1	0	-1.41648661702045	down	NBAtlas
B cell	ENSG00000139116	KIF21A	0	-1.51720132025086	down	NBAtlas
B cell	ENSG00000109132	PHOX2B	0	-1.62415426379541	down	NBAtlas
B cell	ENSG00000075618	FSCN1	0	-1.20120760415901	down	NBAtlas
B cell	ENSG00000168280	KIF5C	0	-1.63604284191841	down	NBAtlas
B cell	ENSG00000078018	MAP2	0	-1.39099882348252	down	NBAtlas
B cell	ENSG00000035862	TIMP2	0	-1.15877770987363	down	NBAtlas
B cell	ENSG00000145362	ANK2	0	-1.68201555605118	down	NBAtlas
B cell	ENSG00000186868	MAPT	0	-1.64608495028758	down	NBAtlas
B cell	ENSG00000101210	EEF1A2	0	-1.70949686464902	down	NBAtlas
B cell	ENSG00000136842	TMOD1	0	-1.60978989877335	down	NBAtlas
B cell	ENSG00000151914	DST	0	-1.73272979794484	down	NBAtlas
B cell	ENSG00000166582	CENPV	0	-1.37629295193972	down	NBAtlas
B cell	ENSG00000149294	NCAM1	0	-1.89165253950104	down	NBAtlas
B cell	ENSG00000176887	SOX11	0	-1.53844864118378	down	NBAtlas
B cell	ENSG00000003147	ICA1	0	-1.29035547416142	down	NBAtlas
B cell	ENSG00000164107	HAND2	0	-1.61415216324734	down	NBAtlas
B cell	ENSG00000132329	RAMP1	0	-1.55887202071679	down	NBAtlas
B cell	ENSG00000141698	NT5C3B	0	-1.07107593249229	down	NBAtlas
B cell	ENSG00000092964	DPYSL2	0	-1.34484987448629	down	NBAtlas
B cell	ENSG00000165462	PHOX2A	0	-2.01817645037	down	NBAtlas
B cell	ENSG00000182463	TSHZ2	0	-1.48974560181086	down	NBAtlas
B cell	ENSG00000107485	GATA3	0	-1.81251234129384	down	NBAtlas
B cell	ENSG00000182985	CADM1	0	-1.90885969388662	down	NBAtlas
B cell	ENSG00000144642	RBMS3	0	-2.06902025902388	down	NBAtlas
B cell	ENSG00000015592	STMN4	0	-1.85058976183649	down	NBAtlas
B cell	ENSG00000162374	ELAVL4	0	-2.07049277106047	down	NBAtlas
B cell	ENSG00000154556	SORBS2	0	-1.82758920591788	down	NBAtlas
B cell	ENSG00000067715	SYT1	0	-1.87202282433602	down	NBAtlas
B cell	ENSG00000105223	PLD3	0	-1.24174825118579	down	NBAtlas
B cell	ENSG00000237125	HAND2-AS1	0	-1.73403445186937	down	NBAtlas
B cell	ENSG00000010810	FYN	0	-1.18585737029278	down	NBAtlas
B cell	ENSG00000245870	LINC00682	0	-1.61829899069977	down	NBAtlas
B cell	ENSG00000140836	ZFHX3	0	-1.92531241336693	down	NBAtlas
B cell	ENSG00000172020	GAP43	0	-1.79919161242409	down	NBAtlas
B cell	ENSG00000166165	CKB	0	-1.74420128537575	down	NBAtlas
B cell	ENSG00000053438	NNAT	0	-1.40200211949584	down	NBAtlas
B cell	ENSG00000133169	BEX1	0	-1.82963773758233	down	NBAtlas
B cell	ENSG00000114115	RBP1	0	-1.51328517060962	down	NBAtlas
B cell	ENSG00000089199	CHGB	0	-1.69049571920318	down	NBAtlas
B cell	ENSG00000133318	RTN3	0	-1.21546403840857	down	NBAtlas
B cell	ENSG00000131507	NDFIP1	0	-1.05731407457702	down	NBAtlas
B cell	ENSG00000102804	TSC22D1	0	-1.09873400415852	down	NBAtlas
B cell	ENSG00000125868	DSTN	0	-1.31503288263955	down	NBAtlas
B cell	ENSG00000102109	PCSK1N	0	-2.30104458968848	down	NBAtlas
B cell	ENSG00000143198	MGST3	0	-1.05415084277515	down	NBAtlas
B cell	ENSG00000134986	NREP	0	-1.77604544723205	down	NBAtlas
B cell	ENSG00000139970	RTN1	0	-2.37535201671429	down	NBAtlas
B cell	ENSG00000166681	BEX3	0	-1.75932179823084	down	NBAtlas
B cell	ENSG00000196591	HDAC2	0	-1.1272595057917	down	NBAtlas
B cell	ENSG00000100804	PSMB5	0	-1.066584027165	down	NBAtlas
B cell	ENSG00000079462	PAFAH1B3	0	-1.2716648888288	down	NBAtlas
B cell	ENSG00000154277	UCHL1	0	-2.23731203175705	down	NBAtlas
B cell	ENSG00000131711	MAP1B	0	-2.41372021753602	down	NBAtlas
B cell	ENSG00000137267	TUBB2A	0	-1.59592139298595	down	NBAtlas
B cell	ENSG00000178980	SELENOW	0	-0.990935195449413	down	NBAtlas
B cell	ENSG00000146425	DYNLT1	0	-1.14901419836538	down	NBAtlas
B cell	ENSG00000128245	YWHAH	0	-1.09865472673895	down	NBAtlas
B cell	ENSG00000243449	C4orf48	0	-1.25995777271888	down	NBAtlas
B cell	ENSG00000159335	PTMS	0	-2.12455688274169	down	NBAtlas
B cell	ENSG00000171735	CAMTA1	0	-1.08205220207484	down	NBAtlas
B cell	ENSG00000174469	CNTNAP2	0	-2.24017365207478	down	NBAtlas
B cell	ENSG00000239672	NME1	0	-1.36545070071681	down	NBAtlas
B cell	ENSG00000213190	MLLT11	0	-2.15691063466272	down	NBAtlas
B cell	ENSG00000110492	MDK	0	-1.93414402604481	down	NBAtlas
B cell	ENSG00000115310	RTN4	0	-1.17745717074879	down	NBAtlas
B cell	ENSG00000230989	HSBP1	0	-1.01910523223423	down	NBAtlas
B cell	ENSG00000131116	ZNF428	0	-1.20645059733825	down	NBAtlas
B cell	ENSG00000110092	CCND1	0	-2.05379358720045	down	NBAtlas
B cell	ENSG00000135404	CD63	0	-1.36440478450863	down	NBAtlas
B cell	ENSG00000136810	TXN	0	-1.32224546209204	down	NBAtlas
B cell	ENSG00000164687	FABP5	0	-1.35535590886592	down	NBAtlas
B cell	ENSG00000214548	MEG3	0	-3.03941902884498	down	NBAtlas
B cell	ENSG00000167815	PRDX2	0	-1.5749510875301	down	NBAtlas
B cell	ENSG00000182670	TTC3	0	-1.13745974692551	down	NBAtlas
B cell	ENSG00000277443	MARCKS	0	-1.56905014305993	down	NBAtlas
B cell	ENSG00000108953	YWHAE	0	-1.38217525112683	down	NBAtlas
B cell	ENSG00000134308	YWHAQ	0	-1.13645101753432	down	NBAtlas
B cell	ENSG00000158321	AUTS2	0	-2.18011591443185	down	NBAtlas
B cell	ENSG00000137285	TUBB2B	0	-2.7501783275439	down	NBAtlas
B cell	ENSG00000124766	SOX4	0	-1.75234145675957	down	NBAtlas
B cell	ENSG00000089220	PEBP1	0	-1.34082279136772	down	NBAtlas
B cell	ENSG00000189159	JPT1	0	-1.6832607813144	down	NBAtlas
B cell	ENSG00000104435	STMN2	0	-2.97191848957129	down	NBAtlas
B cell	ENSG00000117632	STMN1	0	-1.71470481134017	down	NBAtlas
B cell	ENSG00000196230	TUBB	0	-1.7062044569786	down	NBAtlas
B cell	ENSG00000167552	TUBA1A	0	-2.4987828368745	down	NBAtlas
Endothelial	ENSG00000064989	CALCRL	0	3.04530257327181	up	NBAtlas
Endothelial	ENSG00000172889	EGFL7	0	3.24109463539586	up	NBAtlas
Endothelial	ENSG00000164035	EMCN	0	2.89137975093126	up	NBAtlas
Endothelial	ENSG00000130300	PLVAP	0	2.9843770040714	up	NBAtlas
Endothelial	ENSG00000102755	FLT1	0	3.34882139065258	up	NBAtlas
Endothelial	ENSG00000162618	ADGRL4	0	2.39728209175081	up	NBAtlas
Endothelial	ENSG00000142798	HSPG2	0	3.44168104686481	up	NBAtlas
Endothelial	ENSG00000127329	PTPRB	0	3.05456092733979	up	NBAtlas
Endothelial	ENSG00000174059	CD34	0	2.22430918126938	up	NBAtlas
Endothelial	ENSG00000134531	EMP1	0	2.995224078993	up	NBAtlas
Endothelial	ENSG00000110799	VWF	0	2.98800371215364	up	NBAtlas
Endothelial	ENSG00000169908	TM4SF1	0	2.95878187748345	up	NBAtlas
Endothelial	ENSG00000018408	WWTR1	0	2.93130005358686	up	NBAtlas
Endothelial	ENSG00000179776	CDH5	0	1.78246626827486	up	NBAtlas
Endothelial	ENSG00000127920	GNG11	0	3.08367538374024	up	NBAtlas
Endothelial	ENSG00000176435	CLEC14A	0	1.84892938134845	up	NBAtlas
Endothelial	ENSG00000240583	AQP1	0	2.3279380669962	up	NBAtlas
Endothelial	ENSG00000261371	PECAM1	0	2.99661076329494	up	NBAtlas
Endothelial	ENSG00000129538	RNASE1	0	2.42502791545936	up	NBAtlas
Endothelial	ENSG00000128052	KDR	0	1.80170042759408	up	NBAtlas
Endothelial	ENSG00000125810	CD93	0	2.28013296049811	up	NBAtlas
Endothelial	ENSG00000149564	ESAM	0	1.97192047944233	up	NBAtlas
Endothelial	ENSG00000152583	SPARCL1	0	2.96478814593529	up	NBAtlas
Endothelial	ENSG00000176907	TCIM	0	2.1268378126057	up	NBAtlas
Endothelial	ENSG00000184113	CLDN5	0	2.79311275309041	up	NBAtlas
Endothelial	ENSG00000169744	LDB2	0	3.56834389833475	up	NBAtlas
Endothelial	ENSG00000128567	PODXL	0	2.39807406806537	up	NBAtlas
Endothelial	ENSG00000106991	ENG	0	2.71175028730772	up	NBAtlas
Endothelial	ENSG00000188643	S100A16	0	1.86074746252296	up	NBAtlas
Endothelial	ENSG00000187498	COL4A1	0	2.94481012109218	up	NBAtlas
Endothelial	ENSG00000204291	COL15A1	0	1.93532690396684	up	NBAtlas
Endothelial	ENSG00000120278	PLEKHG1	0	2.52069497633571	up	NBAtlas
Endothelial	ENSG00000069122	ADGRF5	0	1.82801753841765	up	NBAtlas
Endothelial	ENSG00000175899	A2M	0	2.79573711786023	up	NBAtlas
Endothelial	ENSG00000164056	SPRY1	0	3.13515987585574	up	NBAtlas
Endothelial	ENSG00000105974	CAV1	0	2.15053464530356	up	NBAtlas
Endothelial	ENSG00000125968	ID1	0	3.04659677310804	up	NBAtlas
Endothelial	ENSG00000162407	PLPP3	0	2.46932668229347	up	NBAtlas
Endothelial	ENSG00000177469	CAVIN1	0	1.86460284413009	up	NBAtlas
Endothelial	ENSG00000067113	PLPP1	0	3.59490713589168	up	NBAtlas
Endothelial	ENSG00000163453	IGFBP7	0	3.27151010958828	up	NBAtlas
Endothelial	ENSG00000088387	DOCK9	0	2.26173964436957	up	NBAtlas
Endothelial	ENSG00000113140	SPARC	0	2.94819328312194	up	NBAtlas
Endothelial	ENSG00000141753	IGFBP4	0	2.43726477899968	up	NBAtlas
Endothelial	ENSG00000144724	PTPRG	0	3.22330306895623	up	NBAtlas
Endothelial	ENSG00000173706	HEG1	0	1.89205590206518	up	NBAtlas
Endothelial	ENSG00000111341	MGP	0	2.44466825181782	up	NBAtlas
Endothelial	ENSG00000165949	IFI27	0	3.06985035784481	up	NBAtlas
Endothelial	ENSG00000111145	ELK3	0	1.72711474972392	up	NBAtlas
Endothelial	ENSG00000163513	TGFBR2	0	2.21596120010142	up	NBAtlas
Endothelial	ENSG00000004399	PLXND1	0	1.74390369776337	up	NBAtlas
Endothelial	ENSG00000142089	IFITM3	0	2.73647763178002	up	NBAtlas
Endothelial	ENSG00000081189	MEF2C	0	2.08459542019519	up	NBAtlas
Endothelial	ENSG00000148180	GSN	0	2.34833347981189	up	NBAtlas
Endothelial	ENSG00000134871	COL4A2	0	2.47814514967264	up	NBAtlas
Endothelial	ENSG00000117318	ID3	0	2.54323405023591	up	NBAtlas
Endothelial	ENSG00000065054	SLC9A3R2	0	2.5434136312393	up	NBAtlas
Endothelial	ENSG00000137962	ARHGAP29	0	2.27964586130766	up	NBAtlas
Endothelial	ENSG00000173482	PTPRM	0	2.54969082962263	up	NBAtlas
Endothelial	ENSG00000116016	EPAS1	0	2.60611368011213	up	NBAtlas
Endothelial	ENSG00000162599	NFIA	0	1.6916475030395	up	NBAtlas
Endothelial	ENSG00000171105	INSR	0	2.95390136925123	up	NBAtlas
Endothelial	ENSG00000148175	STOM	0	1.99487213917853	up	NBAtlas
Endothelial	ENSG00000147526	TACC1	0	2.52921537186442	up	NBAtlas
Endothelial	ENSG00000168899	VAMP5	0	1.76688409723194	up	NBAtlas
Endothelial	ENSG00000134352	IL6ST	0	1.88871084934851	up	NBAtlas
Endothelial	ENSG00000152818	UTRN	0	1.90359637346891	up	NBAtlas
Endothelial	ENSG00000131477	RAMP2	0	2.46089081619402	up	NBAtlas
Endothelial	ENSG00000100097	LGALS1	0	1.94557055991291	up	NBAtlas
Endothelial	ENSG00000182809	CRIP2	0	1.91343506505692	up	NBAtlas
Endothelial	ENSG00000026025	VIM	0	2.24567327607785	up	NBAtlas
Endothelial	ENSG00000245532	NEAT1	0	2.36922922382979	up	NBAtlas
Endothelial	ENSG00000204592	HLA-E	0	1.44679602474114	up	NBAtlas
Endothelial	ENSG00000234745	HLA-B	0	1.37298365452508	up	NBAtlas
Endothelial	ENSG00000174521	TTC9B	0	-1.2716878263521	down	NBAtlas
Endothelial	ENSG00000114631	PODXL2	0	-1.07507422566278	down	NBAtlas
Endothelial	ENSG00000196361	ELAVL3	0	-1.17445304054585	down	NBAtlas
Endothelial	ENSG00000166582	CENPV	0	-1.44292428144645	down	NBAtlas
Endothelial	ENSG00000168824	NSG1	0	-1.27667338354232	down	NBAtlas
Endothelial	ENSG00000016082	ISL1	0	-1.43768560141955	down	NBAtlas
Endothelial	ENSG00000101210	EEF1A2	0	-1.69861487020048	down	NBAtlas
Endothelial	ENSG00000133134	BEX2	0	-1.15362669776668	down	NBAtlas
Endothelial	ENSG00000109132	PHOX2B	0	-1.54817593687507	down	NBAtlas
Endothelial	ENSG00000245910	SNHG6	0	-1.75417996797391	down	NBAtlas
Endothelial	ENSG00000234741	GAS5	0	-1.90248522070432	down	NBAtlas
Endothelial	ENSG00000132329	RAMP1	0	-1.5523094388514	down	NBAtlas
Endothelial	ENSG00000165462	PHOX2A	0	-1.97591427635952	down	NBAtlas
Endothelial	ENSG00000139116	KIF21A	0	-1.39360760179518	down	NBAtlas
Endothelial	ENSG00000168280	KIF5C	0	-1.43826804633723	down	NBAtlas
Endothelial	ENSG00000186868	MAPT	0	-1.45764419598	down	NBAtlas
Endothelial	ENSG00000136842	TMOD1	0	-1.38565484102875	down	NBAtlas
Endothelial	ENSG00000072832	CRMP1	0	-1.13965748826448	down	NBAtlas
Endothelial	ENSG00000149294	NCAM1	0	-1.71884068866174	down	NBAtlas
Endothelial	ENSG00000015592	STMN4	0	-1.82004566455022	down	NBAtlas
Endothelial	ENSG00000107485	GATA3	0	-1.72867649784373	down	NBAtlas
Endothelial	ENSG00000175061	SNHG29	0	-3.02884318680843	down	NBAtlas
Endothelial	ENSG00000053438	NNAT	0	-1.41111442763486	down	NBAtlas
Endothelial	ENSG00000164107	HAND2	0	-1.50704474613437	down	NBAtlas
Endothelial	ENSG00000026508	CD44	0	-1.25543209651127	down	NBAtlas
Endothelial	ENSG00000102109	PCSK1N	0	-2.27632359932566	down	NBAtlas
Endothelial	ENSG00000272398	CD24	0	-1.80586773338564	down	NBAtlas
Endothelial	ENSG00000162374	ELAVL4	0	-1.91045466897581	down	NBAtlas
Endothelial	ENSG00000176788	BASP1	0	-2.21200870333232	down	NBAtlas
Endothelial	ENSG00000237125	HAND2-AS1	0	-1.5712306726166	down	NBAtlas
Endothelial	ENSG00000196405	EVL	0	-0.896927209729135	down	NBAtlas
Endothelial	ENSG00000067715	SYT1	0	-1.5022716579374	down	NBAtlas
Endothelial	ENSG00000172020	GAP43	0	-1.62626179263437	down	NBAtlas
Endothelial	ENSG00000182985	CADM1	0	-1.65121984327828	down	NBAtlas
Endothelial	ENSG00000079462	PAFAH1B3	0	-1.18206208115043	down	NBAtlas
Endothelial	ENSG00000243449	C4orf48	0	-1.18456108238341	down	NBAtlas
Endothelial	ENSG00000166165	CKB	0	-1.5025144007082	down	NBAtlas
Endothelial	ENSG00000133169	BEX1	0	-1.67133000596573	down	NBAtlas
Endothelial	ENSG00000128739	SNRPN	0	-1.11285879775392	down	NBAtlas
Endothelial	ENSG00000139970	RTN1	0	-2.10124665405263	down	NBAtlas
Endothelial	ENSG00000154277	UCHL1	0	-2.03870436389274	down	NBAtlas
Endothelial	ENSG00000172115	CYCS	0	-1.02535906639676	down	NBAtlas
Endothelial	ENSG00000182670	TTC3	0	-1.01549747626996	down	NBAtlas
Endothelial	ENSG00000205581	HMGN1	0	-0.955267303785524	down	NBAtlas
Endothelial	ENSG00000220205	VAMP2	0	-1.29189974360977	down	NBAtlas
Endothelial	ENSG00000213190	MLLT11	0	-1.7967297138556	down	NBAtlas
Endothelial	ENSG00000133872	SARAF	0	-1.35326542243673	down	NBAtlas
Endothelial	ENSG00000089220	PEBP1	0	-1.37328114726455	down	NBAtlas
Endothelial	ENSG00000189159	JPT1	0	-1.66470504199502	down	NBAtlas
Endothelial	ENSG00000197061	H4C3	0	-2.03181464034645	down	NBAtlas
Endothelial	ENSG00000137285	TUBB2B	0	-2.58781985387313	down	NBAtlas
Endothelial	ENSG00000214548	MEG3	0	-2.47523348505875	down	NBAtlas
Endothelial	ENSG00000104435	STMN2	0	-2.44042321480671	down	NBAtlas
Fibroblast	ENSG00000164692	COL1A2	0	4.57061459257829	up	NBAtlas
Fibroblast	ENSG00000168542	COL3A1	0	4.37005259013221	up	NBAtlas
Fibroblast	ENSG00000182492	BGN	0	3.64229878031715	up	NBAtlas
Fibroblast	ENSG00000101335	MYL9	0	3.81066995912888	up	NBAtlas
Fibroblast	ENSG00000108821	COL1A1	0	4.85695023654817	up	NBAtlas
Fibroblast	ENSG00000149591	TAGLN	0	4.56462681994923	up	NBAtlas
Fibroblast	ENSG00000111341	MGP	0	4.33336057591353	up	NBAtlas
Fibroblast	ENSG00000011465	DCN	0	3.64116541944955	up	NBAtlas
Fibroblast	ENSG00000148671	ADIRF	0	4.39686463757283	up	NBAtlas
Fibroblast	ENSG00000189129	PLAC9	0	2.48389545409689	up	NBAtlas
Fibroblast	ENSG00000109610	SOD3	0	2.48326977320297	up	NBAtlas
Fibroblast	ENSG00000107796	ACTA2	0	3.96146047656257	up	NBAtlas
Fibroblast	ENSG00000152583	SPARCL1	0	3.22882170518722	up	NBAtlas
Fibroblast	ENSG00000103196	CRISPLD2	0	2.35056974315024	up	NBAtlas
Fibroblast	ENSG00000074181	NOTCH3	0	2.14964032628003	up	NBAtlas
Fibroblast	ENSG00000163359	COL6A3	0	2.39308115150031	up	NBAtlas
Fibroblast	ENSG00000116132	PRRX1	0	1.74489553068532	up	NBAtlas
Fibroblast	ENSG00000163453	IGFBP7	0	4.65782319158591	up	NBAtlas
Fibroblast	ENSG00000113721	PDGFRB	0	2.57522823497596	up	NBAtlas
Fibroblast	ENSG00000142910	TINAGL1	0	1.89436937201029	up	NBAtlas
Fibroblast	ENSG00000204262	COL5A2	0	2.2114308570415	up	NBAtlas
Fibroblast	ENSG00000137831	UACA	0	2.2549963349578	up	NBAtlas
Fibroblast	ENSG00000142871	CCN1	0	2.69156546639439	up	NBAtlas
Fibroblast	ENSG00000105974	CAV1	0	2.10897882105896	up	NBAtlas
Fibroblast	ENSG00000166741	NNMT	0	1.95983613400707	up	NBAtlas
Fibroblast	ENSG00000113140	SPARC	0	3.63572554863699	up	NBAtlas
Fibroblast	ENSG00000177469	CAVIN1	0	1.90903689396604	up	NBAtlas
Fibroblast	ENSG00000140545	MFGE8	0	2.11667524409422	up	NBAtlas
Fibroblast	ENSG00000187498	COL4A1	0	2.67199502746263	up	NBAtlas
Fibroblast	ENSG00000142173	COL6A2	0	3.09022173972756	up	NBAtlas
Fibroblast	ENSG00000065534	MYLK	0	1.86710170582819	up	NBAtlas
Fibroblast	ENSG00000108691	CCL2	0	2.97935243392169	up	NBAtlas
Fibroblast	ENSG00000115414	FN1	0	3.03650593024569	up	NBAtlas
Fibroblast	ENSG00000185532	PRKG1	0	2.66971474385186	up	NBAtlas
Fibroblast	ENSG00000170955	CAVIN3	0	1.6557487499199	up	NBAtlas
Fibroblast	ENSG00000142089	IFITM3	0	3.06825145176498	up	NBAtlas
Fibroblast	ENSG00000183722	LHFPL6	0	2.62441781948746	up	NBAtlas
Fibroblast	ENSG00000182871	COL18A1	0	2.37959561487783	up	NBAtlas
Fibroblast	ENSG00000198467	TPM2	0	3.39853673323514	up	NBAtlas
Fibroblast	ENSG00000150687	PRSS23	0	1.91761471557553	up	NBAtlas
Fibroblast	ENSG00000141753	IGFBP4	0	2.23424963259284	up	NBAtlas
Fibroblast	ENSG00000176046	NUPR1	0	1.53552747122855	up	NBAtlas
Fibroblast	ENSG00000134871	COL4A2	0	2.63926272975118	up	NBAtlas
Fibroblast	ENSG00000148180	GSN	0	2.66206505707322	up	NBAtlas
Fibroblast	ENSG00000151491	EPS8	0	1.92689637344824	up	NBAtlas
Fibroblast	ENSG00000163430	FSTL1	0	1.77969988191682	up	NBAtlas
Fibroblast	ENSG00000122786	CALD1	0	3.61919993370945	up	NBAtlas
Fibroblast	ENSG00000117318	ID3	0	2.44859312072114	up	NBAtlas
Fibroblast	ENSG00000150636	CCDC102B	0	2.36324229822779	up	NBAtlas
Fibroblast	ENSG00000185551	NR2F2	0	1.83007623269791	up	NBAtlas
Fibroblast	ENSG00000102265	TIMP1	0	3.64307995790885	up	NBAtlas
Fibroblast	ENSG00000175899	A2M	0	1.79785178589063	up	NBAtlas
Fibroblast	ENSG00000162599	NFIA	0	1.8936050671314	up	NBAtlas
Fibroblast	ENSG00000100097	LGALS1	0	3.29891959145758	up	NBAtlas
Fibroblast	ENSG00000149257	SERPINH1	0	1.62205806636036	up	NBAtlas
Fibroblast	ENSG00000149131	SERPING1	0	1.71297607099655	up	NBAtlas
Fibroblast	ENSG00000115461	IGFBP5	0	2.87386873011354	up	NBAtlas
Fibroblast	ENSG00000106624	AEBP1	0	1.95981459710413	up	NBAtlas
Fibroblast	ENSG00000125148	MT2A	0	2.58030799487429	up	NBAtlas
Fibroblast	ENSG00000142156	COL6A1	0	2.2521305196459	up	NBAtlas
Fibroblast	ENSG00000185650	ZFP36L1	0	1.98081500547205	up	NBAtlas
Fibroblast	ENSG00000250722	SELENOP	0	1.0733224408998	up	NBAtlas
Fibroblast	ENSG00000026025	VIM	0	2.70853736270356	up	NBAtlas
Fibroblast	ENSG00000140416	TPM1	0	2.44680518321139	up	NBAtlas
Fibroblast	ENSG00000150347	ARID5B	0	1.62582593073525	up	NBAtlas
Fibroblast	ENSG00000198832	SELENOM	0	1.88997942530682	up	NBAtlas
Fibroblast	ENSG00000160789	LMNA	0	1.89250195749997	up	NBAtlas
Fibroblast	ENSG00000145012	LPP	0	1.64349367650699	up	NBAtlas
Fibroblast	ENSG00000128016	ZFP36	0	1.84224157055908	up	NBAtlas
Fibroblast	ENSG00000100234	TIMP3	0	1.59234661066952	up	NBAtlas
Fibroblast	ENSG00000185201	IFITM2	0	1.33320152281938	up	NBAtlas
Fibroblast	ENSG00000163191	S100A11	0	1.20094582027652	up	NBAtlas
Fibroblast	ENSG00000002586	CD99	0	1.2499149046268	up	NBAtlas
