ontology_id	human_readable_value	panglao_cell_type
NA	NA	Crypt cells
NA	NA	Delta cells
NA	NA	Distal tubule cells
NA	NA	Ductal cells
NA	NA	Endothelial cells (aorta)
NA	NA	Endothelial cells (blood brain barrier)
CL:4040002	enteroglial cell	Enteric glia cells
CL:0000504	enterochromaffin-like cell	Enterochromaffin cells
CL:0005019	pancreatic epsilon cell	Epsilon cells
CL:0000038	erythroid progenitor cell	Erythroid-like and erythroid precursor cells
CL:0002258	thyroid follicular cell	Follicular cells
CL:0002179	foveolar cell of stomach	Foveolar cells
CL:0000617	GABAergic neuron	GABAergic neurons
CL:0000696	PP cell	Gamma (PP) cells
CL:0000798	gamma-delta T cell	Gamma delta T cells
CL:0000155	peptic cell	Gastric chief cells
CL:0002292	type I cell of carotid body	Glomus cells
CL:0000679	glutamatergic neuron	Glutaminergic neurons
CL:0010007	His-Purkinje system cell	His bundle cells
CL:4042021	neuronal-restricted precursor	Immature neurons
CL:0005010	renal intercalated cell	Intercalated cells
CL:1000618	juxtaglomerular complex cell	Juxtaglomerular cells
CL:0000383	nephrogenic mesenchyme stem cell	Kidney progenitor cells
CL:0000091	Kupffer cell	Kupffer cells
CL:0000453	Langerhans cell	Langerhans cells
CL:0000178	Leydig cell	Leydig cells
CL:1000909	kidney loop of Henle epithelial cell	Loop of Henle cells
CL:0002326	luminal epithelial cell of mammary gland	Luminal epithelial cells
CL:0002327	mammary gland epithelial cell	Mammary epithelial cells
NA	NA	Meningeal cells
NA	NA	Merkel cells
NA	NA	Microfold cells
NA	NA	Microglia
NA	NA	Müller cells
NA	NA	Myeloid-derived suppressor cells
NA	NA	Myocytes
NA	NA	Myofibroblasts
NA	NA	Natural killer T cells
NA	NA	Neural stem/precursor cells
NA	NA	Neuroblasts
NA	NA	NK cells
NA	NA	Nuocytes
NA	NA	Oligodendrocyte progenitor cells
NA	NA	Osteoclast precursor cells
NA	NA	Oxyphil cells
NA	NA	Pancreatic progenitor cells
NA	NA	Parathyroid chief cells
NA	NA	Peri-islet Schwann cells
NA	NA	Principal cells
NA	NA	Proximal tubule cells
NA	NA	Pulmonary alveolar type I cells
NA	NA	Pulmonary alveolar type II cells
NA	NA	Pulmonary vascular smooth muscle cells
NA	NA	Purkinje fiber cells
NA	NA	Purkinje neurons
NA	NA	Pyramidal cells
NA	NA	Radial glia cells
NA	NA	Red pulp macrophages
NA	NA	Salivary mucous cells
NA	NA	Satellite cells
NA	NA	Satellite glial cells
NA	NA	Schwann cells
NA	NA	Sebocytes
NA	NA	Sertoli cells
NA	NA	Spermatozoa
NA	NA	T cells naive
NA	NA	T cytotoxic cells
NA	NA	T helper cells
NA	NA	T memory cells
NA	NA	T regulatory cells
NA	NA	Transient cells
NA	NA	Trichocytes
NA	NA	Trophoblast progenitor cells
NA	NA	Trophoblast stem cells
NA	NA	Tuft cells
NA	NA	Undefined placental cells
NA	NA	Vascular smooth muscle cells
