consensus_ontology	consensus_annotation	ensembl_gene_id	gene_symbol	number_of_tissues	celltype_total_tissues	percent_tissues	gene_observed_count
CL:0000084	T cell	ENSG00000160654	CD3G	25	72	34.72	1
CL:0000084	T cell	ENSG00000081237	PTPRC	18	72	25	18
CL:0000084	T cell	ENSG00000110848	CD69	17	72	23.61	6
CL:0000084	T cell	ENSG00000168685	IL7R	16	72	22.22	9
CL:0000084	T cell	ENSG00000134460	IL2RA	15	72	20.83	7
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000010610	CD4	23	33	69.7	14
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000198851	CD3E	14	33	42.42	7
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000168685	IL7R	12	33	36.36	9
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000167286	CD3D	10	33	30.3	9
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000110848	CD69	6	33	18.18	6
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000049768	FOXP3	6	33	18.18	3
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000134460	IL2RA	6	33	18.18	7
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000126353	CCR7	5	33	15.15	9
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000102245	CD40LG	5	33	15.15	2
CL:0000624	CD4-positive, alpha-beta T cell	ENSG00000081237	PTPRC	5	33	15.15	18
CL:0000815	regulatory T cell	ENSG00000049768	FOXP3	40	50	80	3
CL:0000815	regulatory T cell	ENSG00000134460	IL2RA	36	50	72	7
CL:0000815	regulatory T cell	ENSG00000163599	CTLA4	22	50	44	1
CL:0000815	regulatory T cell	ENSG00000010610	CD4	18	50	36	14
CL:0000815	regulatory T cell	ENSG00000181847	TIGIT	11	50	22	2
CL:0000815	regulatory T cell	ENSG00000186891	TNFRSF18	10	50	20	1
CL:0000815	regulatory T cell	ENSG00000163600	ICOS	8	50	16	2
CL:0000815	regulatory T cell	ENSG00000030419	IKZF2	8	50	16	1
CL:0000815	regulatory T cell	ENSG00000186827	TNFRSF4	8	50	16	1
CL:0000815	regulatory T cell	ENSG00000138185	ENTPD1	7	50	14	3
CL:0000813	memory T cell	ENSG00000126353	CCR7	11	18	61.11	9
CL:0000813	memory T cell	ENSG00000139193	CD27	10	18	55.56	11
CL:0000813	memory T cell	ENSG00000168685	IL7R	7	18	38.89	9
CL:0000813	memory T cell	ENSG00000188404	SELL	6	18	33.33	5
CL:0000813	memory T cell	ENSG00000083457	ITGAE	5	18	27.78	3
CL:0000813	memory T cell	ENSG00000165272	AQP3	4	18	22.22	5
CL:0000813	memory T cell	ENSG00000178562	CD28	4	18	22.22	5
CL:0000813	memory T cell	ENSG00000010610	CD4	4	18	22.22	14
CL:0000813	memory T cell	ENSG00000026508	CD44	4	18	22.22	16
CL:0000813	memory T cell	ENSG00000227507	LTB	4	18	22.22	2
CL:0000898	naive T cell	ENSG00000126353	CCR7	17	19	89.47	9
CL:0000898	naive T cell	ENSG00000139193	CD27	9	19	47.37	11
CL:0000898	naive T cell	ENSG00000138795	LEF1	9	19	47.37	5
CL:0000898	naive T cell	ENSG00000168685	IL7R	8	19	42.11	9
CL:0000898	naive T cell	ENSG00000188404	SELL	7	19	36.84	5
CL:0000898	naive T cell	ENSG00000081059	TCF7	7	19	36.84	3
CL:0000898	naive T cell	ENSG00000167286	CD3D	3	19	15.79	9
CL:0000898	naive T cell	ENSG00000010610	CD4	3	19	15.79	14
CL:0000898	naive T cell	ENSG00000178562	CD28	2	19	10.53	5
CL:0000898	naive T cell	ENSG00000153563	CD8A	2	19	10.53	9
CL:0000898	naive T cell	ENSG00000181163	NPM1	2	19	10.53	1
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000153563	CD8A	29	42	69.05	9
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000172116	CD8B	15	42	35.71	3
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000198851	CD3E	13	42	30.95	7
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000167286	CD3D	12	42	28.57	9
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000089692	LAG3	12	42	28.57	1
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000188389	PDCD1	11	42	26.19	3
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000100453	GZMB	8	42	19.05	4
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000135077	HAVCR2	8	42	19.05	2
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000181847	TIGIT	8	42	19.05	2
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000138185	ENTPD1	7	42	16.67	3
CL:0000625	CD8-positive, alpha-beta T cell	ENSG00000083457	ITGAE	7	42	16.67	3
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000153563	CD8A	4	5	80	9
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000169442	CD52	3	5	60	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000172116	CD8B	3	5	60	3
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000186810	CXCR3	3	5	60	4
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000137441	FGFBP2	3	5	60	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000213949	ITGA1	3	5	60	3
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000026508	CD44	2	5	40	16
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000168329	CX3CR1	2	5	40	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000203747	FCGR3A	2	5	40	7
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000151651	ADAM8	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000205336	ADGRG1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000169252	ADRB2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000135049	AGTPBP1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000124942	AHNAK	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000163219	ARHGAP25	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000188042	ARL4C	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000110934	BIN2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000235162	C12orf75	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000116667	C1orf21	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000162909	CAPN2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000064012	CASP8	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000275302	CCL4	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000271503	CCL5	1	5	20	4
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000167851	CD300A	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000198851	CD3E	1	5	20	7
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000010610	CD4	1	5	20	14
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000148019	CEP78	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000121966	CXCR4	1	5	20	7
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000125868	DSTN	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000142634	EFHD2	1	5	20	3
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000142227	EMP3	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000162747	FCGR3B	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000181036	FCRL6	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000000938	FGR	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000196924	FLNA	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000196968	FUT11	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000160219	GAB3	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000175066	GK5	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000135821	GLUL	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000115523	GNLY	1	5	20	4
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000100453	GZMB	1	5	20	4
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000100450	GZMH	1	5	20	3
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000113088	GZMK	1	5	20	4
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000111537	IFNG	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000168685	IL7R	1	5	20	9
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000169896	ITGAM	1	5	20	3
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000069424	KCNAB2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000205810	KLRC3	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000134539	KLRD1	1	5	20	3
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000150045	KLRF1	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000100097	LGALS1	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000104972	LILRB1	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000189067	LITAF	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000073350	LLGL2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000153395	LPCAT1	1	5	20	3
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000197971	MBP	1	5	20	3
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000170873	MTSS1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000142347	MYO1F	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000136286	MYO1G	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000021762	OSBPL5	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000229474	PATL2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000141506	PIK3R5	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000115956	PLEK	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000126822	PLEKHG3	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000166501	PRKCB	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000150687	PRSS23	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000089159	PXN	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000127314	RAP1B	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000132359	RAP1GAP2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000181467	RAP2B	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000068028	RASSF1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000171700	RGS19	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000158717	RNF166	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000180739	S1PR5	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000164483	SAMD3	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000131370	SH3BP5	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000224660	SH3BP5-AS1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000117394	SLC2A1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	NA	SLC9A3R1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000173930	SLCO4C1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000159674	SPON2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000135250	SRPK2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000072786	STK10	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000131018	SYNE1	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000158710	TAGLN2	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000073861	TBX21	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000069702	TGFBR3	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000145107	TM4SF19	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	NA	TM4SF19-DYNLT2B	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000128294	TPST2	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000167094	TTC16	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000075234	TTC38	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000048028	USP28	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000035403	VCL	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000136451	VEZF1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000047056	WDR37	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000169554	ZEB2	1	5	20	2
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000238057	ZEB2-AS1	1	5	20	1
CL:0000913	effector memory CD8-positive, alpha-beta T cell	ENSG00000189190	ZNF600	1	5	20	1
CL:0000798	gamma-delta T cell	NA	TRDC	8	13	61.54	1
CL:0000798	gamma-delta T cell	ENSG00000211695	TRGV9	3	13	23.08	1
CL:0000798	gamma-delta T cell	ENSG00000167286	CD3D	2	13	15.38	9
CL:0000798	gamma-delta T cell	ENSG00000010610	CD4	2	13	15.38	14
CL:0000798	gamma-delta T cell	ENSG00000149294	NCAM1	2	13	15.38	5
CL:0000798	gamma-delta T cell	ENSG00000105374	NKG7	2	13	15.38	3
CL:0000798	gamma-delta T cell	ENSG00000211821	TRDV2	2	13	15.38	1
CL:0000798	gamma-delta T cell	ENSG00000271503	CCL5	1	13	7.69	4
CL:0000798	gamma-delta T cell	ENSG00000160791	CCR5	1	13	7.69	2
CL:0000798	gamma-delta T cell	ENSG00000117281	CD160	1	13	7.69	1
CL:0000798	gamma-delta T cell	ENSG00000116824	CD2	1	13	7.69	2
CL:0000798	gamma-delta T cell	ENSG00000178562	CD28	1	13	7.69	5
CL:0000798	gamma-delta T cell	ENSG00000198851	CD3E	1	13	7.69	7
CL:0000798	gamma-delta T cell	ENSG00000110448	CD5	1	13	7.69	2
CL:0000798	gamma-delta T cell	ENSG00000110848	CD69	1	13	7.69	6
CL:0000798	gamma-delta T cell	ENSG00000173762	CD7	1	13	7.69	2
CL:0000798	gamma-delta T cell	ENSG00000153563	CD8A	1	13	7.69	9
CL:0000798	gamma-delta T cell	ENSG00000172116	CD8B	1	13	7.69	3
CL:0000798	gamma-delta T cell	ENSG00000172215	CXCR6	1	13	7.69	3
CL:0000798	gamma-delta T cell	ENSG00000149557	FEZ1	1	13	7.69	1
CL:0000798	gamma-delta T cell	ENSG00000186188	FFAR4	1	13	7.69	2
CL:0000798	gamma-delta T cell	ENSG00000137731	FXYD2	1	13	7.69	4
CL:0000798	gamma-delta T cell	ENSG00000115523	GNLY	1	13	7.69	4
CL:0000798	gamma-delta T cell	ENSG00000100450	GZMH	1	13	7.69	3
CL:0000798	gamma-delta T cell	ENSG00000111796	KLRB1	1	13	7.69	4
CL:0000798	gamma-delta T cell	ENSG00000125462	MIR9-1HG	1	13	7.69	1
CL:0000798	gamma-delta T cell	ENSG00000189430	NCR1	1	13	7.69	3
CL:0000798	gamma-delta T cell	ENSG00000180440	SERTM1	1	13	7.69	1
CL:0000798	gamma-delta T cell	ENSG00000144290	SLC4A10	1	13	7.69	1
CL:0000798	gamma-delta T cell	ENSG00000104435	STMN2	1	13	7.69	2
CL:0000798	gamma-delta T cell	ENSG00000060140	STYK1	1	13	7.69	1
CL:0000798	gamma-delta T cell	NA	TRD	1	13	7.69	1
CL:0000798	gamma-delta T cell	NA	TRG	1	13	7.69	1
CL:0000798	gamma-delta T cell	ENSG00000211689	TRGC1	1	13	7.69	1
CL:0000798	gamma-delta T cell	ENSG00000227191	TRGC2	1	13	7.69	2
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000126353	CCR7	6	6	100	9
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000188404	SELL	5	6	83.33	5
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000138795	LEF1	3	6	50	5
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000172005	MAL	3	6	50	1
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000136997	MYC	3	6	50	4
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000142546	NOSIP	3	6	50	1
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000117602	RCAN3	3	6	50	1
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000184557	SOCS3	3	6	50	1
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000081059	TCF7	3	6	50	3
CL:0000907	central memory CD8-positive, alpha-beta T cell	ENSG00000182463	TSHZ2	3	6	50	1
CL:0000893	thymocyte	ENSG00000117090	SLAMF1	1	1	100	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000010610	CD4	3	4	75	14
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000145649	GZMA	2	4	50	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000168685	IL7R	2	4	50	9
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000126353	CCR7	1	4	25	9
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000178562	CD28	1	4	25	5
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000160683	CXCR5	1	4	25	3
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000026103	FAS	1	4	25	2
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000049768	FOXP3	1	4	25	3
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000169508	GPR183	1	4	25	3
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000078399	HOXA9	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000134460	IL2RA	1	4	25	7
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000169223	LMAN2	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000184384	MAML2	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000100410	PHF5A	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000131188	PRR7	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	NA	PRR7-AS1	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000196154	S100A4	1	4	25	3
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000182568	SATB1	1	4	25	2
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000064932	SBNO2	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000005020	SKAP2	1	4	25	3
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000151229	SLC2A13	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000042317	SPATA7	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000198369	SPRED2	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000131374	TBC1D5	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000167074	TEF	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000170348	TMED10	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000181634	TNFSF15	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000121060	TRIM25	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000108219	TSPAN14	1	4	25	2
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000164405	UQCRQ	1	4	25	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	ENSG00000184939	ZFP90	1	4	25	1
CL:0000909	CD8-positive, alpha-beta memory T cell	ENSG00000153563	CD8A	4	6	66.67	9
CL:0000909	CD8-positive, alpha-beta memory T cell	ENSG00000113088	GZMK	3	6	50	4
CL:0000909	CD8-positive, alpha-beta memory T cell	ENSG00000198851	CD3E	2	6	33.33	7
CL:0000909	CD8-positive, alpha-beta memory T cell	ENSG00000110848	CD69	2	6	33.33	6
